service,month,year,calls_handled,average_wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Driver and Vehicle Services queues (English + French),Dec,2016,"62,384",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Jan,2017,"78,243",2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Feb,2017,"66,130",0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Mar,2017,"72,600",1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Apr,2017,"57,756",2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),May,2017,"71,920",2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Jun,2017,"75,819",1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Jul,2017,"73,144",1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Aug,2017,"82,160",1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Sep,2017,"70,994",0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Oct,2017,"73,033",0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Nov,2017,"66,115",0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Dec,2017,"53,979",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Jan,2018,"71,682",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Feb,2018,"57,638",0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Mar,2018,"66,280",1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Apr,2018,"56,167",2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),May,2018,"75,368",1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Jun,2018,"70,826",0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Jul,2018,"73,149",1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Aug,2018,"79,144",2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Sep,2018,"70,100",7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Oct,2018,"72,516",4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Nov,2018,"63,654",1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Dec,2018,"53,070",1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Jan,2019,"73,814",2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Feb,2019,"57,584",1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Mar,2019,"66,132",1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Apr,2019,"63,191",2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),May,2019,"72,111",2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Jun,2019,"63,801",2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Jul,2019,"68,660",3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Aug,2019,"67,934",2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Sep,2019,"57,454",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jan,2016,"118,541",0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Feb,2016,"111,136",0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Mar,2016,"115,461",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Apr,2016,"114,520",0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),May,2016,"114,069",0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jun,2016,"120,183",0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jul,2016,"117,095",1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Aug,2016,"120,203",2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Sep,2016,"116,292",1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Oct,2016,"111,435",0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Nov,2016,"115,491",0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Dec,2016,"104,297",1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jan,2017,"123,667",1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Feb,2017,"112,462",0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Mar,2017,"128,716",0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Apr,2017,"104,057",1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),May,2017,"125,974",0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jun,2017,"126,102",0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jul,2017,"125,454",0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Aug,2017,"131,701",0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Sep,2017,"118,631",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Oct,2017,"134,413",0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Nov,2017,"126,578",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Dec,2017,"105,309",0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jan,2018,"130,223",0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Feb,2018,"107,495",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Mar,2018,"117,465",0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Apr,2018,"102,789",0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),May,2018,"118,928",0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jun,2018,"113,519",0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jul,2018,"115,148",1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Aug,2018,"118,207",0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Sep,2018,"106,289",1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Oct,2018,"114,115",1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Nov,2018,"110,561",1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Dec,2018,"90,494",0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jan,2019,"115,829",1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Feb,2019,"97,068",1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Mar,2019,"105,582",1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Apr,2019,"99,661",2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),May,2019,"105,385",2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jun,2019,"99,665",2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jul,2019,"108,047",3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Aug,2019,"105,002",3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Sep,2019,"103,514",3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jan,2016,"2,411",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Feb,2016,"2,253",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Mar,2016,"2,372",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Apr,2016,"2,192",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",May,2016,"2,217",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jun,2016,"2,273",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jul,2016,"1,932",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Aug,2016,"2,659",0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Sep,2016,"2,630",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Oct,2016,"1,931",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Nov,2016,"1,946",0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Dec,2016,"1,655",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jan,2017,"2,486",0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Feb,2017,"2,189",0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Mar,2017,"2,475",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Apr,2017,"1,385",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",May,2017,"1,546",0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jun,2017,"1,501",0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jul,2017,"1,453",0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Aug,2017,"1,874",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Sep,2017,"1,758",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Oct,2017,"1,649",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Nov,2017,"1,714",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Dec,2017,"1,078",0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jan,2018,"1,801",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Feb,2018,"1,469",0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Mar,2018,"1,540",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Apr,2018,"1,237",0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",May,2018,"1,609",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jun,2018,"1,495",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jul,2018,"1,610",0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Aug,2018,"1,943",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Sep,2018,"1,655",0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Oct,2018,"1,521",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Nov,2018,"1,450",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Dec,2018,988,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jan,2019,"1,685",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Feb,2019,"1,226",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Mar,2019,"1,462",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Apr,2019,"1,405",0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",May,2019,"1,434",0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jun,2019,"1,377",0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jul,2019,"1,369",0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Aug,2019,"1,630",0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Sep,2019,"1,687",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Jan,2016,491,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Feb,2016,411,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Mar,2016,465,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Apr,2016,369,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),May,2016,318,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Jun,2016,334,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Jul,2016,266,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Aug,2016,279,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Sep,2016,280,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Oct,2016,325,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Nov,2016,362,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Dec,2016,192,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Jan,2017,274,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Feb,2017,255,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Mar,2017,289,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Apr,2017,189,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),May,2017,239,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Jun,2017,252,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Jul,2017,250,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Aug,2017,237,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Sep,2017,269,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Oct,2017,280,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Nov,2017,249,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Dec,2017,197,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Jan,2018,288,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Feb,2018,236,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Mar,2018,220,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Apr,2018,167,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),May,2018,169,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Jun,2018,181,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Jul,2018,155,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Aug,2018,153,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Sep,2018,153,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Oct,2018,157,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Nov,2018,138,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Dec,2018,126,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Jan,2019,106,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Feb,2019,102,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Mar,2019,125,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Apr,2019,128,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),May,2019,114,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Jun,2019,100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Jul,2019,96,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Aug,2019,114,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy queues  (English + French),Sep,2019,87,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Jan,2016,"18,720",0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Feb,2016,"20,961",0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Mar,2016,"25,253",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Apr,2016,"23,063",0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),May,2016,"21,914",0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Jun,2016,"21,976",0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Jul,2016,"22,375",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Aug,2016,"22,150",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Sep,2016,"20,631",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Oct,2016,"18,870",0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Nov,2016,"19,275",0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Dec,2016,"16,446",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Jan,2017,"19,838",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Feb,2017,"19,919",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Mar,2017,"24,567",2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Apr,2017,"19,129",0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),May,2017,"23,725",0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Jun,2017,"21,703",0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Jul,2017,"22,062",5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance queues (English + French),Aug,2017,"22,319",3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
